79912002944780090100900295749             7190002405592060400     4072     2034Census Tract 604 (part)
79912002944780090100900295749             7190002405592060500     4098     2027Census Tract 605 (part)
79912002944780090100900295749             7190002405592060600     5103     2499Census Tract 606
79912002944780090100900295749             7190002405592060700     3232     1824Census Tract 607
79912002944780090100900295749             7190002405592061001     4382     2504Census Tract 610.01
79912002944780090100900295749             7190002405592061002     3176     1577Census Tract 610.02
79912002944780090100900295749             7190002405592061100     5975     2933Census Tract 611 (part)
79912002944780090100900295749             7190002405592061201     5754     2773Census Tract 612.01 (part)
79912002944780090100900295749             7190002405592061202      694      439Census Tract 612.02 (part)
79912002944780090100900295749             7190002405592071100      120       58Census Tract 711 (part)
79912002944780090100900295749             7190002405592071400     3155     2323Census Tract 714
79812002944780090100900295749             7436802583386          10757     4990Viera East CDP
79912002944780090100900295749             7436802583386063102     4338     1999Census Tract 631.02 (part)
79912002944780090100900295749             7436802583386063106     4072     1710Census Tract 631.06
79912002944780090100900295749             7436802583386063107     2347     1281Census Tract 631.07 (part)
79812002944780090100900295749             7437002583387           5952     2769Viera West CDP (part)
79912002944780090100900295749             7437002583387071200     5952     2769Census Tract 712 (part)
79812002944780090100900295749             9999999999999          52228    22524Remainder of Brevard County (part)
79912002944780090100900295749             9999999999999060101      889      385Census Tract 601.01 (part)
79912002944780090100900295749             9999999999999060102      781      389Census Tract 601.02 (part)
79912002944780090100900295749             9999999999999060200     3682     1594Census Tract 602 (part)
79912002944780090100900295749             9999999999999060300     1593      693Census Tract 603 (part)
79912002944780090100900295749             9999999999999060400       91       51Census Tract 604 (part)
79912002944780090100900295749             9999999999999060500      511      237Census Tract 605 (part)
79912002944780090100900295749             9999999999999061100        8        4Census Tract 611 (part)
79912002944780090100900295749             9999999999999061201      896      391Census Tract 612.01 (part)
79912002944780090100900295749             9999999999999061202     3176     1504Census Tract 612.02 (part)
79912002944780090100900295749             9999999999999062103     5873     2391Census Tract 621.03 (part)
79912002944780090100900295749             9999999999999062104     6989     2739Census Tract 621.04
79912002944780090100900295749             9999999999999062106        0        0Census Tract 621.06 (part)
79912002944780090100900295749             9999999999999062107        0        0Census Tract 621.07 (part)
79912002944780090100900295749             9999999999999062109     4048      458Census Tract 621.09 (part)
79912002944780090100900295749             9999999999999062302      399      209Census Tract 623.02 (part)
79912002944780090100900295749             9999999999999062400      712      313Census Tract 624 (part)
79912002944780090100900295749             9999999999999062500     1880     1199Census Tract 625 (part)
79912002944780090100900295749             9999999999999062800     1377      694Census Tract 628 (part)
79912002944780090100900295749             9999999999999062900       34       15Census Tract 629 (part)
79912002944780090100900295749             9999999999999063000     1626      714Census Tract 630 (part)
79912002944780090100900295749             9999999999999063102      508      221Census Tract 631.02 (part)
79912002944780090100900295749             9999999999999063104       34       16Census Tract 631.04 (part)
79912002944780090100900295749             9999999999999063105      102       35Census Tract 631.05 (part)
79912002944780090100900295749             9999999999999063107     6685     3324Census Tract 631.07 (part)
79912002944780090100900295749             9999999999999071100     3760     2341Census Tract 711 (part)
79912002944780090100900295749             9999999999999071200     6239     2441Census Tract 712 (part)
79912002944780090100900295749             9999999999999071500      335      166Census Tract 715 (part)
795120029447800902                                              115817    67416Brevard County (East)--Beaches & Merritt Island PUMA
79612002944780090200900295749                                   115817    67416Brevard County (part)
79812002944780090200900295749             1025002403989           9912     8295Cape Canaveral city
79912002944780090200900295749             1025002403989068400      456      333Census Tract 684 (part)
79912002944780090200900295749             1025002403989068501     1184     1003Census Tract 685.01 (part)
79912002944780090200900295749             1025002403989068502     2590     2390Census Tract 685.02 (part)
79912002944780090200900295749             1025002403989068601     1892     1467Census Tract 686.01 (part)
79912002944780090200900295749             1025002403989068602     3790     3102Census Tract 686.02 (part)
79812002944780090200900295749             1317502404090          11231     8866Cocoa Beach city
79912002944780090200900295749             1317502404090068101     1619     1280Census Tract 681.01 (part)
79912002944780090200900295749             1317502404090068102     2447     1342Census Tract 681.02 (part)
79912002944780090200900295749             1317502404090068200     2830     1704Census Tract 682
79912002944780090200900295749             1317502404090068300     2625     3169Census Tract 683
79912002944780090200900295749             1317502404090068400     1686     1319Census Tract 684 (part)
79912002944780090200900295749             1317502404090068501       24       52Census Tract 685.01 (part)
79912002944780090200900295749             1317502404090990000        0        0Census Tract 9900 (part)
